Class	SMPL_A12_3	SMPL_A13_3	SMPL_A14_3	SMPL_A15_3	SMPL_A16_3	SMPL_A17_2	SMPL_A18_2	SMPL_A19_2	SMPL_A20_4	SMPL_A21_2	SMPL_A22_2	SMPL_A23_1	SMPL_A24_4	SMPL_A25_2	SMPL_A33_1	SMPL_A36_1	SMPL_A3_2	SMPL_A41_1	SMPL_A42_4	SMPL_A44_1	SMPL_A47_4	SMPL_A48_1	SMPL_A52_3	SMPL_A53_4	SMPL_A54_4	SMPL_A56_3	SMPL_A57_4	SMPL_A58_4	SMPL_A59_4	SMPL_A5_1	SMPL_A7_3	SMPL_A9_2
Archaea;Euryarchaeota;Methanobacteria	0	0	20	0	0	4	0	44	0	0	0	0	0	0	5	0	0	23	0	0	0	0	0	1	23	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Thermoplasmata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria	0	11	7	91	31	0	4	88	3	0	1573	9	16	2	0	232	7	2	1	2	23	17	1	51	69	4	588	265	544	66	2	2
Bacteria;Actinobacteria;Coriobacteriia	4	0	111	1	3	34	0	15	96	9	1	12	80	0	4	43	1	59	8	1	23	4	3	5	70	1	15	112	36	6	1	1
Bacteria;Bacteroidetes;Bacteroidia	15876	23960	17474	33802	23107	9026	27324	10401	20966	17008	17687	17975	19116	30087	14526	20697	20840	21922	19159	21772	23782	16144	14261	20072	11891	18996	21179	17267	8906	14517	14254	27126
Bacteria;Cyanobacteria;Melainabacteria	0	1	0	0	0	172	5796	18	5	0	1	3080	1	0	458	1191	0	515	0	2	6	542	0	6	65	2	5	72	148	1	506	0
Bacteria;Cyanobacteria;Oxyphotobacteria	0	0	0	0	0	96	0	1	0	2	4	1	43	0	0	1	0	0	11	2	0	0	0	0	110	0	3	0	34	0	0	0
Bacteria;Elusimicrobia;Elusimicrobia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	568	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Bacteria;Epsilonbacteraeota;Campylobacteria	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	1	15	0	0	0	1	0	0	3	2	1	1	0	0	1	1	1
Bacteria;Firmicutes;Bacilli	4	28	8	27	224	32	6	19	1	3	1068	11	20	13	2	1	36	0	2	14	9	2	35	33	4	17	1	13	13	7	3	1
Bacteria;Firmicutes;Clostridia	9143	6824	18162	9118	4297	23099	8648	15585	13182	10354	4022	11380	15658	16474	10102	10494	13718	29283	14439	11806	9249	17283	7417	11268	18566	9072	10765	11875	19294	12012	10251	8478
Bacteria;Firmicutes;Erysipelotrichia	433	1382	66	759	725	27	2	15	578	49	54	127	320	14	38	115	8	154	12	213	20	28	40	199	92	134	183	43	21	4	4	82
Bacteria;Firmicutes;Negativicutes	83	0	2	4	253	0	45	7	1146	9	175	184	181	23	1	7	45	4	68	2	41	9	131	99	6	6	1087	15	27	5	9	135
Bacteria;Fusobacteria;Fusobacteriia	0	0	0	2	6	2	4	1	0	0	15	0	25	0	2454	1	0	0	0	0	2	0	3	24	9	0	0	2	0	0	0	8
Bacteria;Lentisphaerae;Lentisphaeria	0	0	67	0	0	1	0	260	0	0	0	0	0	0	232	113	0	0	4	0	0	1	45	0	204	25	0	12	387	0	31	0
Bacteria;Patescibacteria;Saccharimonadia	5	2	10	1	32	3	15	7	2	1	3	0	43	18	1	1	2	3	0	2	3	2	0	14	1	0	0	12	1	17	0	1
Bacteria;Proteobacteria;Alphaproteobacteria	0	4	1	0	0	262	0	1	1	36	0	2251	4	1	2896	274	3215	19	0	357	362	538	2	1123	74	2923	1	54	863	0	1854	564
Bacteria;Proteobacteria;Deltaproteobacteria	8	250	127	1	1	0	0	89	116	217	149	247	1160	112	199	114	35	69	55	127	78	66	137	44	269	290	116	65	447	3	90	0
Bacteria;Proteobacteria;Gammaproteobacteria	535	2094	2625	6686	1427	56	95	393	3470	68	2513	1130	1199	21	888	105	1598	108	473	523	306	1973	309	282	87	111	1378	38	116	135	1196	1950
Bacteria;Tenericutes;Mollicutes	0	0	0	0	0	11	0	1626	0	0	0	0	0	0	329	90	1559	4512	42	29	0	5	0	6	528	0	0	6	142	199	578	0
Bacteria;Verrucomicrobia;Verrucomicrobiae	0	4019	0	48	552	8	0	475	0	3	0	4	4837	1	206	98	1180	692	3	3827	38	24	2	3	1032	6	4	1	242	178	812	1
