Family	SMPL_A12	SMPL_A13	SMPL_A14	SMPL_A15	SMPL_A16	SMPL_A17	SMPL_A18	SMPL_A19	SMPL_A20	SMPL_A21	SMPL_A22	SMPL_A23	SMPL_A24	SMPL_A25	SMPL_A33	SMPL_A36	SMPL_A3	SMPL_A41	SMPL_A42	SMPL_A44	SMPL_A47	SMPL_A48	SMPL_A52	SMPL_A53	SMPL_A54	SMPL_A56	SMPL_A57	SMPL_A58	SMPL_A59	SMPL_A5	SMPL_A7	SMPL_A9
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae	0	0	20	0	0	4	0	44	0	0	0	0	0	0	5	0	0	23	0	0	0	0	0	1	23	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae	0	2	3	2	1	0	1	1	1	0	1	3	16	1	0	0	0	1	1	2	1	0	0	0	3	0	0	1	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae	0	2	4	88	30	0	3	86	0	0	1572	0	0	1	0	232	7	0	0	0	22	15	1	50	66	4	588	264	544	66	2	1
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae	0	7	0	0	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae	0	0	4	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	6	3	1	0	0	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae	0	0	0	0	0	0	0	1	82	0	0	12	0	0	0	15	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriales Incertae Sedis	1	0	1	0	0	0	0	0	3	0	0	0	0	0	2	5	0	0	0	0	22	4	0	0	2	0	1	0	0	1	0	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae	3	0	106	0	3	34	0	14	11	9	0	0	78	0	2	23	1	59	8	1	1	0	3	5	65	1	8	108	35	5	1	1
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae	6481	18353	10330	27730	21255	7315	27315	6934	19681	13721	17677	17295	17601	22693	4241	15831	9956	13437	14500	21121	19920	7946	12078	15500	5577	13340	5004	14225	5667	7293	11374	25745
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae	1957	419	4372	1	1	3	1	1	1	720	1	0	0	5940	5188	1649	1631	2125	808	2	650	3202	420	1134	1662	1775	207	447	303	806	14	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinifilaceae	1823	499	631	924	3	5	0	587	735	292	0	667	1244	851	1778	435	288	1273	704	530	320	1230	477	807	394	864	225	343	918	375	246	1315
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae	0	0	0	0	1	0	0	0	205	0	0	0	0	2	402	0	7471	0	0	0	0	0	0	0	824	0	0	1	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae	0	0	3	0	0	0	0	2	0	0	0	0	0	0	112	1	0	0	0	1	0	1	1	0	8	1	3	0	1	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae	4054	896	108	3	2	0	5	4	0	1	7	4	259	0	0	124	8	7	5	0	1	15	3	4	39	1184	13560	350	200	4130	1666	2
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae	870	2040	1321	3227	5	1624	3	705	285	929	1	8	12	1	1016	1817	985	2281	1396	117	657	2657	668	1559	2162	436	804	1391	1562	357	422	64
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae	691	1753	709	1917	1840	79	0	2168	32	1345	1	1	0	600	1788	840	501	2799	1746	1	2234	1093	614	1068	1225	1396	1376	370	255	1556	532	0
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae	0	0	0	0	0	0	0	0	27	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0
Bacteria;Cyanobacteria;Melainabacteria;Gastranaerophilales;?	0	1	0	0	0	171	5796	17	5	0	1	3080	1	0	409	1190	0	515	0	0	6	538	0	6	65	1	5	72	148	0	467	0
Bacteria;Cyanobacteria;Melainabacteria;Gastranaerophilales;Clostridium sp. CAG:306	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	4	0	0	0	0	0	0	0	1	0	0
Bacteria;Cyanobacteria;Melainabacteria;Gastranaerophilales;gut metagenome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Cyanobacteria;Melainabacteria;Gastranaerophilales;uncultured rumen bacterium	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	39	0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;?	0	0	0	0	0	96	0	1	0	2	4	1	43	0	0	1	0	0	11	2	0	0	0	0	110	0	3	0	34	0	0	0
Bacteria;Elusimicrobia;Elusimicrobia;Elusimicrobiales;Elusimicrobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	568	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Bacteria;Epsilonbacteraeota;Campylobacteria;Campylobacterales;Campylobacteraceae	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	1	15	0	0	0	1	0	0	3	2	1	1	0	0	1	1	1
