OTU	SMPL_A22	SMPL_A33	SMPL_A9	SMPL_A12	SMPL_A13	SMPL_A15	SMPL_A16	SMPL_A17	SMPL_A18	SMPL_A19	SMPL_A20	SMPL_A21	SMPL_A23	SMPL_A24	SMPL_A25	SMPL_A36	SMPL_A5	SMPL_A7	SMPL_A14	SMPL_A41	SMPL_A42	SMPL_A44	SMPL_A47	SMPL_A48	SMPL_A52	SMPL_A53	SMPL_A54	SMPL_A56	SMPL_A57	SMPL_A58	SMPL_A59	SMPL_A3
OTU_1	17338	1117	12756	3592	12335	9636	16229	1739	4079	1150	187	3327	12031	10385	9826	3848	6051	3032	2863	6001	9476	5291	13305	1212	7289	9302	2183	6614	2050	1886	1491	1362
OTU_2	1	1616	2	2766	1	254	2497	4320	4523	2319	844	4941	6003	4460	7033	2848	3574	3	1241	7774	5313	4828	1036	5393	1091	3238	801	7396	3774	2514	5290	4047
OTU_3	2	505	2	957	1053	1375	6	1654	4136	1949	7355	2656	2425	2717	8375	6997	252	313	3696	4129	2071	6911	1570	981	1459	3134	1295	1006	191	2190	1352	5902
OTU_4	0	97	2018	7	82	8	2476	15	9516	856	966	5931	9	3325	672	352	479	461	1299	1809	1254	4463	243	273	15	419	178	4178	276	581	398	882
OTU_5	0	0	8790	0	24	4107	11	3622	9209	444	9792	524	0	78	1963	6	252	0	830	7	0	667	62	6	998	0	1099	13	2	0	3	578
OTU_6	14	44	4605	748	721	56	46	3779	237	295	1103	136	653	1127	162	196	785	1264	994	534	463	159	2214	1614	1610	1869	6820	90	427	1423	2295	655
OTU_7	1	3375	0	1853	327	1	1	3	1	1	1	720	0	0	5758	1649	593	14	4118	2021	620	2	650	3202	404	1134	1414	1035	165	349	151	1332
OTU_8	1	821	54	868	1637	3081	5	1595	3	219	2	850	0	8	1	1557	140	86	892	2149	1297	2	71	2085	642	1554	1783	15	772	1327	1455	814
OTU_9	141	732	220	228	84	2657	119	495	358	179	318	152	2020	738	124	1612	851	677	163	3662	1102	387	626	725	907	333	314	32	249	329	686	428
OTU_10	2141	0	139	522	2046	6064	1304	56	49	343	1313	45	2	203	21	73	1	1162	2556	31	468	16	0	148	18	97	19	25	38	10	36	1568
OTU_11	217	208	669	190	383	926	306	1632	1466	422	313	1305	409	1577	914	800	213	239	226	612	727	815	435	584	349	232	604	223	1127	729	887	306
OTU_12	0	1746	1307	1459	418	920	1	5	0	586	733	287	665	1240	851	434	370	159	630	1271	659	250	320	1149	369	806	351	633	210	312	866	277
OTU_13	0	992	0	513	1008	1917	4	18	0	2022	1	1340	0	0	1	752	549	437	0	2590	1348	0	2145	1	414	1	1	1391	1369	2	207	2
OTU_14	0	159	1	0	2579	11387	33	1	1	0	2	0	0	1	0	2327	0	0	1	2	1	1	0	2	2	1	7	1	2	671	1473	0
OTU_15	2	0	0	2507	743	2	1	0	4	0	0	1	1	157	0	65	3901	4	0	0	4	0	0	12	3	2	0	0	11182	10	1	0
OTU_16	0	206	1	0	4019	48	552	8	0	475	0	3	4	4837	1	98	178	812	0	227	3	3827	38	24	2	3	500	6	0	1	242	1180
OTU_17	0	105	0	62	1	0	1	1932	0	153	2172	24	694	11	239	699	62	139	6072	4	1	0	347	331	179	976	1358	6	141	1164	216	61
OTU_18	31	149	86	1199	1	13	63	821	8	846	1944	583	516	997	704	152	257	503	1537	1258	331	757	51	653	259	94	606	91	655	825	696	106
OTU_19	271	4	442	92	608	315	1719	76	13	832	0	398	1076	112	566	71	73	91	35	842	344	576	3544	42	1364	1849	273	210	158	505	195	34
OTU_20	35	222	1350	417	1134	21	6	583	591	412	1284	332	70	1435	1305	284	528	235	286	321	738	346	593	462	214	382	459	94	592	315	837	173
OTU_21	0	282	1	0	1	0	1	1317	44	1559	0	0	1	3	1	579	138	2490	1490	2	0	1	1	1220	488	286	0	1	11	2	1167	2237
OTU_22	1	409	0	0	1	0	0	171	5796	17	5	0	3080	1	0	1190	0	417	0	512	0	0	6	538	0	6	64	1	5	1	148	0
OTU_23	1	1013	20	1242	823	164	96	24	8	1138	12	779	27	248	340	954	2	181	1335	248	400	18	142	338	36	271	126	207	21	326	174	592
OTU_24	0	342	0	987	1	5	2	665	170	1329	29	184	0	51	221	184	110	1	80	1918	332	264	482	950	1	213	431	1	328	377	440	879
OTU_25	0	0	0	6	0	0	0	0	1	0	0	0	1	0	0	2	0	5351	0	0	0	0	958	4327	2	8	0	1	2	0	304	0
OTU_26	0	96	2	667	1	1565	4	673	0	712	698	574	0	3	281	237	62	86	496	420	62	83	92	378	71	5	1995	2	113	338	249	342
OTU_27	0	938	0	0	2	0	0	35	0	0	0	36	2247	0	0	0	0	1002	1	0	0	69	86	87	0	198	5	1945	0	4	118	2273
OTU_28	0	109	675	178	150	668	524	57	104	196	1	56	4	528	24	504	6	44	11	17	679	3031	1	42	676	420	25	13	1	88	63	33
OTU_29	34	1034	62	60	1617	494	352	57	46	77	814	257	134	122	308	28	15	1158	515	131	276	191	259	24	14	53	27	443	124	22	17	75
OTU_30	1	0	0	0	0	0	0	289	0	32	0	0	1	0	1521	127	0	0	245	975	1002	2	38	167	301	2267	610	0	0	161	264	758
OTU_31	1	721	0	178	738	0	1297	1	0	144	0	5	1	0	599	86	812	74	55	1	366	0	84	972	169	873	271	4	5	123	41	490
OTU_32	0	1	0	0	0	0	0	0	0	1	0	0	1426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6437	0	0
OTU_33	0	323	0	0	0	0	0	11	0	1581	0	0	0	0	0	44	185	578	0	4351	0	0	0	0	0	6	516	0	0	2	142	107
OTU_34	133	66	85	31	23	73	2	962	249	211	40	76	87	482	176	295	119	1122	370	285	310	164	271	217	110	85	112	5	305	571	502	303
OTU_35	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7471
OTU_36	0	39	117	1	0	0	1	1504	0	318	1	343	0	66	0	97	2473	0	43	414	326	843	14	206	21	4	382	1	27	91	11	66
OTU_37	0	1155	564	0	1	0	0	219	0	1	0	0	2	0	0	273	0	852	0	19	0	288	276	162	0	925	48	978	1	50	367	896
OTU_38	0	815	0	3	0	0	0	1554	188	247	0	1	1	9	0	647	279	107	220	743	0	0	9	178	37	2	1	3	0	318	0	50
OTU_39	9	12	28	110	660	505	529	67	144	103	199	29	23	756	57	17	27	170	141	10	245	91	306	233	29	81	79	33	340	144	185	31
OTU_40	0	489	0	0	0	533	3	0	1	27	1	23	1013	994	0	22	0	22	11	8	2	113	12	1769	5	86	14	19	40	24	17	22
OTU_41	2113	2	390	25	224	345	220	5	42	3	4	2	15	152	73	1	118	0	44	32	29	115	341	54	35	391	7	17	171	21	45	38
OTU_42	0	1	0	0	30	0	0	0	1	2	658	0	0	0	0	3	0	0	177	0	0	0	1	1	0	0	0	3	2208	1510	2	0
OTU_43	0	674	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3658	0	0	0	0	0	2	0	0	0	1	1	0
OTU_44	39	7	1014	52	80	6	71	116	0	0	0	10	75	194	827	149	96	59	55	286	1	39	42	93	1	63	160	590	14	19	20	84
OTU_45	0	1019	0	103	481	1	2	0	1	0	1	3	7	2	2	0	0	1829	0	2	11	3	3	521	10	10	0	12	0	0	1	0
OTU_46	0	0	1	0	0	0	0	9	0	505	1	0	0	0	1528	3	3	0	0	0	0	0	1	0	776	0	0	2	0	0	949	1
OTU_47	0	0	1463	0	0	0	0	0	0	6	2155	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0
OTU_48	0	0	0	940	45	0	1	0	1	0	0	0	0	0	0	9	99	0	0	0	0	0	0	1	0	0	0	0	2366	1	0	0
OTU_49	2	11	9	23	13	1297	7	4	11	14	1352	6	0	115	34	12	3	26	65	42	4	56	4	11	4	1	43	88	1	20	12	10
OTU_50	0	62	0	0	0	0	0	3	0	535	0	0	0	0	0	0	0	0	1736	368	0	0	0	1	0	1	0	0	1	106	30	407
OTU_51	0	6	0	158	0	1	0	52	89	361	77	540	0	0	1	4	23	0	185	418	0	0	224	194	1	132	166	0	77	178	0	138
OTU_52	57	31	0	0	250	1	1	0	0	76	116	111	247	376	112	114	3	90	82	69	55	127	78	66	110	44	91	113	115	65	54	35
OTU_53	0	2454	0	0	0	2	0	0	0	1	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	2	0	0
OTU_54	0	0	0	1	0	0	1	55	0	592	0	0	0	0	0	0	0	5	0	614	0	0	71	91	2	2	41	0	0	1	0	1006
OTU_55	0	10	0	196	0	12	0	305	4	238	0	19	0	111	0	0	12	0	91	51	120	0	367	317	2	7	7	1	187	3	206	126
OTU_56	0	5	180	0	4	0	0	0	44	11	0	12	42	15	233	106	64	8	5	136	1026	59	41	133	16	51	35	0	6	31	41	8
OTU_57	0	152	0	0	0	0	0	34	0	1215	0	0	0	0	0	110	384	53	0	4	0	0	0	50	1	0	164	11	0	3	61	61
OTU_58	1572	0	0	0	1	3	4	0	3	86	0	0	0	0	1	216	0	2	4	0	0	0	0	3	0	33	64	2	126	1	66	7
OTU_59	0	0	0	0	0	0	0	233	0	0	0	0	0	3	0	151	27	286	1	0	0	1273	0	0	1	0	0	0	166	1	0	0
OTU_60	0	0	0	0	0	0	0	0	0	0	0	0	0	1951	166	0	0	0	0	0	4	0	0	0	14	0	3	0	0	0	0	0
OTU_61	0	13	1	0	45	12	0	267	1	10	3	27	7	4	73	1	2	219	13	38	22	0	6	121	24	4	50	0	230	558	285	62
OTU_62	1	37	0	7	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	81	0	0	0	1	0	8	0	0	479	0	1366	48
