Phylum	SMPL_A12	SMPL_A13	SMPL_A14	SMPL_A15	SMPL_A16	SMPL_A17	SMPL_A18	SMPL_A19	SMPL_A20	SMPL_A21	SMPL_A22	SMPL_A23	SMPL_A24	SMPL_A25	SMPL_A33	SMPL_A36	SMPL_A3	SMPL_A41	SMPL_A42	SMPL_A44	SMPL_A47	SMPL_A48	SMPL_A52	SMPL_A53	SMPL_A54	SMPL_A56	SMPL_A57	SMPL_A58	SMPL_A59	SMPL_A5	SMPL_A7	SMPL_A9
Archaea;Euryarchaeota	0	0	20	0	0	4	0	44	0	0	0	0	0	0	27	0	0	23	0	0	0	0	0	1	23	0	0	0	0	0	0	0
Bacteria;Actinobacteria	4	11	118	92	34	34	4	103	99	9	1574	21	96	2	4	275	8	61	9	3	46	21	4	56	139	5	603	377	580	72	3	3
Bacteria;Bacteroidetes	15876	23960	17474	33802	23107	9026	27324	10401	20966	17008	17687	17975	19116	30087	14526	20697	20840	21922	19159	21772	23782	16144	14261	20072	11891	18996	21179	17267	8906	14517	14254	27126
Bacteria;Cyanobacteria	0	1	0	0	0	268	5796	19	5	2	5	3081	44	0	458	1192	0	515	11	4	6	542	0	6	175	2	8	72	182	1	506	0
Bacteria;Elusimicrobia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	568	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Bacteria;Epsilonbacteraeota	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	1	15	0	0	0	1	0	0	3	2	1	1	0	0	1	1	1
Bacteria;Firmicutes	9663	8234	18238	9908	5499	23158	8701	15626	14907	10415	5319	11702	16179	16524	10143	10617	13807	29441	14521	12035	9319	17322	7623	11599	18668	9229	12036	11946	19355	12028	10267	8696
Bacteria;Fusobacteria	0	0	0	2	6	2	4	1	0	0	15	0	25	0	2454	1	0	0	0	0	2	0	3	24	9	0	0	2	0	0	0	8
Bacteria;Lentisphaerae	0	0	67	0	0	1	0	260	0	0	0	0	0	0	232	113	0	0	4	0	0	1	45	0	204	25	0	12	387	0	31	0
Bacteria;Patescibacteria	5	2	10	1	32	3	15	7	2	1	3	0	43	18	1	1	2	3	0	2	3	2	0	14	1	0	0	12	1	17	0	1
Bacteria;Proteobacteria	543	2348	2753	6687	1428	318	95	483	3587	321	2662	3628	2363	134	3983	493	4848	196	528	1007	746	2577	448	1449	430	3324	1495	157	1426	138	3140	2514
Bacteria;Tenericutes	0	0	0	0	0	11	0	1626	0	0	0	0	0	0	329	90	1559	4512	42	29	0	5	0	6	528	0	0	6	142	199	578	0
Bacteria;Verrucomicrobia	0	4019	0	48	552	8	0	475	0	3	0	4	4837	1	206	98	1180	692	3	3827	38	24	2	3	1032	6	4	1	242	178	812	1
