Species	SMPL_A12_3	SMPL_A13_3	SMPL_A14_3	SMPL_A15_3	SMPL_A16_3	SMPL_A17_2	SMPL_A18_2	SMPL_A19_2	SMPL_A20_4	SMPL_A21_2	SMPL_A22_2	SMPL_A23_1	SMPL_A24_4	SMPL_A25_2	SMPL_A33_1	SMPL_A36_1	SMPL_A3_2	SMPL_A41_1	SMPL_A42_4	SMPL_A44_1	SMPL_A47_4	SMPL_A48_1	SMPL_A52_3	SMPL_A53_4	SMPL_A54_4	SMPL_A56_3	SMPL_A57_4	SMPL_A58_4	SMPL_A59_4	SMPL_A5_1	SMPL_A7_3	SMPL_A9_2
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;?	0	0	20	0	0	4	0	44	0	0	0	0	0	0	5	0	0	23	0	0	0	0	0	1	23	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;?	0	0	0	0	1	0	0	1	0	0	1	2	3	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;uncultured Actinomyces sp.	0	2	3	2	0	0	1	0	1	0	0	1	13	1	0	0	0	0	0	1	1	0	0	0	2	0	0	1	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;?	0	2	4	88	30	0	3	86	0	0	1572	0	0	1	0	232	7	0	0	0	22	15	1	50	66	4	588	264	544	66	2	1
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;?	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Lawsonella;?	0	7	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Rothia;?	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;?;?	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	3	1	0	0	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Atopobium;?	0	0	1	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;?	0	0	0	0	0	0	0	1	82	0	0	12	0	0	0	15	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriales Incertae Sedis;?;?	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriales Incertae Sedis;?;gut metagenome	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	22	4	0	0	2	0	0	0	0	1	0	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;?;?	0	0	95	0	0	34	0	10	7	8	0	0	76	0	1	16	1	55	5	1	1	0	3	5	5	0	7	65	13	5	0	1
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Enterorhabdus;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0
